Liga,time,pct_marcou_1gol_casa,pct_marcou_1gol_fora,pct_marcou_1gol_geral,avg_min_marcou_1gol_casa,avg_min_marcou_1gol_fora,avg_min_sofreu_1gol_casa,avg_min_sofreu_1gol_fora,dp_min_marcou_1gol_casa,dp_min_marcou_1gol_fora,dp_min_sofreu_1gol_casa,dp_min_sofreu_1gol_fora,cv_min_marcou_1gol_casa,cv_min_marcou_1gol_fora,cv_min_sofreu_1gol_casa,cv_min_sofreu_1gol_fora,n_marcou_1gol_casa,n_sofreu_1gol_casa,n_marcou_1gol_fora,n_sofreu_1gol_fora,%Gl_Ca_0_10M,%Gl_Fo_0_10M,%Gl_Ca_11_20M,%Gl_Fo_11_20M,%Gl_Ca_21_30M,%Gl_Fo_21_30M,%Gl_Ca_31_40M,%Gl_Fo_31_40M,%Gl_Ca_41_50M,%Gl_Fo_41_50M,%Gl_Ca_51_60M,%Gl_Fo_51_60M,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Inglaterra_3 League One,Bradford City,74,42,58,34.5,34.0,25.0,18.2,24.2,23.3,11.6,10.0,70.2,68.4,46.3,55.1,14,4,8,9,16.7,5.9,16.7,11.8,0.0,5.9,11.1,5.9,11.1,0.0,11.1,11.8,5.6,5.9,0.0,0.0,5.6,0.0
Inglaterra_3 League One,Burton Albion,47,47,47,25.1,41.2,32.2,25.6,20.1,23.7,23.5,14.5,80.0,57.6,72.8,56.8,9,8,9,9,11.8,5.6,5.9,0.0,23.5,11.1,0.0,5.6,5.9,5.6,0.0,11.1,5.9,5.6,0.0,0.0,0.0,5.6
Inglaterra_3 League One,Cardiff City,53,58,55,25.7,36.5,42.8,38.0,16.7,31.6,27.1,28.1,65.1,86.8,63.4,74.0,10,9,11,7,10.5,11.1,10.5,16.7,10.5,5.6,5.3,5.6,10.5,5.6,5.3,0.0,0.0,5.6,0.0,0.0,0.0,11.1
Inglaterra_3 League One,Doncaster Rovers,78,37,57,33.1,39.7,36.2,33.3,23.9,33.5,15.5,29.7,72.0,84.4,42.7,89.3,14,4,7,10,22.2,5.9,0.0,5.9,11.1,11.8,22.2,0.0,0.0,0.0,16.7,5.9,0.0,5.9,0.0,0.0,5.6,5.9
Inglaterra_3 League One,Exeter City,37,37,37,39.0,44.0,27.5,26.2,24.6,31.8,16.4,25.4,63.1,72.3,59.6,97.0,7,11,7,11,5.6,0.0,5.6,11.1,0.0,5.6,5.6,11.1,16.7,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,11.1
Inglaterra_3 League One,Huddersfield Town,74,37,55,36.2,32.1,38.4,35.7,26.3,26.4,11.3,32.2,72.5,82.3,29.4,90.0,13,5,7,11,16.7,11.1,11.1,0.0,5.6,16.7,5.6,0.0,16.7,0.0,0.0,0.0,5.6,5.6,11.1,5.6,0.0,0.0
Inglaterra_3 League One,Leyton Orient,61,26,43,32.3,25.0,28.6,27.0,22.9,25.4,20.2,24.9,70.8,101.7,70.6,92.3,11,7,4,14,11.1,5.6,11.1,11.1,11.1,0.0,0.0,0.0,16.7,0.0,0.0,0.0,11.1,5.6,0.0,0.0,0.0,0.0
Inglaterra_3 League One,Lincoln City,79,63,71,26.0,21.8,47.2,25.8,16.9,16.2,37.9,21.1,65.0,74.4,80.2,81.6,15,4,12,6,15.8,16.7,21.1,16.7,5.3,16.7,31.6,5.6,0.0,5.6,0.0,5.6,5.3,0.0,0.0,0.0,0.0,0.0
Inglaterra_3 League One,Luton Town,58,37,47,31.3,34.6,28.7,34.5,26.3,25.3,25.3,24.2,84.2,73.2,88.0,70.1,11,7,7,12,16.7,5.3,11.1,5.3,5.6,10.5,16.7,5.3,0.0,0.0,0.0,5.3,0.0,0.0,5.6,5.3,5.6,0.0
Inglaterra_3 League One,Mansfield Town,53,41,47,33.8,35.4,34.1,24.4,22.2,23.4,24.6,15.6,65.6,66.0,72.0,63.9,10,7,7,8,11.8,6.7,5.9,13.3,11.8,0.0,5.9,6.7,5.9,13.3,11.8,0.0,5.9,0.0,0.0,6.7,0.0,0.0
Inglaterra_3 League One,Northampton Town,42,21,32,33.6,36.2,32.1,28.2,29.5,26.8,24.2,24.2,87.8,74.0,75.2,85.5,8,9,4,12,17.6,6.2,0.0,0.0,11.8,6.2,0.0,0.0,5.9,0.0,0.0,12.5,5.9,0.0,0.0,0.0,5.9,0.0
Inglaterra_3 League One,Peterborough United,50,58,54,28.2,41.6,33.9,27.5,27.9,23.1,15.9,27.1,98.8,55.5,46.9,98.6,9,9,11,8,11.1,5.3,16.7,0.0,5.6,10.5,5.6,15.8,5.6,5.3,0.0,5.3,0.0,10.5,0.0,0.0,5.6,5.3
Inglaterra_3 League One,Plymouth Argyle,58,42,50,34.1,36.9,33.6,20.3,20.2,13.8,22.3,19.0,59.4,37.5,66.2,93.8,11,8,9,10,5.3,0.0,10.5,5.3,15.8,10.5,0.0,10.5,15.8,15.8,5.3,0.0,5.3,5.3,0.0,0.0,0.0,0.0
Inglaterra_3 League One,Port Vale,22,35,29,25.5,22.7,40.8,42.4,23.0,28.5,27.7,23.9,90.3,126.0,67.9,56.3,4,10,6,10,14.3,25.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,7.1,6.2,0.0,6.2,0.0,0.0,0.0,0.0
Inglaterra_3 League One,Reading,58,53,55,31.8,28.8,34.8,31.6,29.3,17.9,28.9,22.1,92.2,62.1,83.1,69.9,11,8,9,10,21.1,10.5,5.3,5.3,5.3,10.5,10.5,10.5,0.0,5.3,0.0,5.3,10.5,0.0,0.0,0.0,5.3,0.0
Inglaterra_3 League One,Rotherham United,47,28,38,26.4,31.4,36.1,31.1,20.1,21.5,20.5,19.2,75.9,68.4,56.7,61.7,9,9,5,12,16.7,5.9,11.1,5.9,0.0,5.9,11.1,5.9,5.6,0.0,5.6,0.0,0.0,5.9,0.0,0.0,0.0,0.0
Inglaterra_3 League One,Stevenage,56,32,43,46.0,44.5,37.8,33.5,28.3,19.7,35.1,23.6,61.5,44.2,92.7,70.5,10,6,6,11,12.5,0.0,0.0,0.0,6.2,11.8,12.5,0.0,0.0,5.9,6.2,11.8,12.5,5.9,6.2,0.0,6.2,0.0
Inglaterra_3 League One,Stockport County,50,56,53,35.2,29.3,25.5,35.9,29.3,20.8,11.5,28.6,83.2,71.1,45.0,79.9,9,8,10,7,5.9,17.6,11.8,5.9,11.8,11.8,5.9,5.9,5.9,5.9,0.0,11.8,5.9,0.0,0.0,0.0,5.9,0.0
Inglaterra_3 League One,Wigan Athletic,50,32,41,33.6,28.5,38.4,25.8,25.4,22.4,24.7,23.4,75.7,78.6,64.4,90.6,9,8,6,13,11.8,10.5,11.8,0.0,5.9,10.5,0.0,0.0,5.9,5.3,5.9,0.0,5.9,5.3,5.9,0.0,0.0,0.0
