fixture_id,league,season_id,date_unix,home_id,away_id,home_team,away_team,status,odd_home_d2,odd_draw_d2,odd_away_d2,odd_btts_d2,odd_over25_d2,xg_home_pre,xg_away_pre,ppg_home,ppg_away,datahora,elo_delta,xg_n10_diff,xg_pre_diff,pct_vit_diff,ppg_diff,gols_marc_diff,gols_sof_diff,n10_home,n10_away,elo_home,elo_away,xg_home_n10,xg_away_n10,pct_vit_home,pct_vit_away,gols_marc_home,gols_marc_away,pct_over25_home,pct_over25_away,prob_bc,prob_bf,prob_btts,prob_over25,prob_o05ht,prob_btts_ht,ev_bc_d2,ev_bf_d2,ev_btts_d2,ev_over25_d2,ev_o05ht_d2,ev_btts_ht_d2,ev_bc,odd_home_atual,mov_odd_home,ev_bf,odd_away_atual,mov_odd_away,ev_over25,odd_over25_atual,mov_odd_over25,ev_btts,odd_btts_atual,mov_odd_btts,sos_home_raw,sos_home_norm,sos_home_n,sos_away_raw,sos_away_norm,sos_away_n,z_gols_home,z_gols_home_adj,z_gols_away,z_gols_away_adj,z_xg_home,z_xg_home_adj,z_xg_away,z_xg_away_adj,z_vit_home,z_vit_home_adj,z_vit_away,z_vit_away_adj,prob_mercado_casa,prob_mercado_fora,tem_odds,gols_home_adj,gols_away_adj,custo_gol_casa,custo_gol_fora,valor_gol_casa,valor_gol_fora,luck_home,luck_away,delta_bc,delta_bf,IL_casa,IL_fora,classificacao_IL
8266581,Australia_1 A-League,16036,1775291700,602,608,Melbourne City FC,Western Sydney Wanderers,incomplete,2.22,3.64,3.21,0.0,1.71,1.6,1.73,1.22,0.73,2026-04-04 05:35,97.0282623253031,-0.3699999999999999,-0.1299999999999999,0.0999999999999999,0.49,-0.5999999999999999,-0.1999999999999999,10,10,1488.1462459456122,1441.1179836203091,1.376,1.7459999999999998,0.3,0.2,1.1,1.7,0.5,0.8,0.4052069318201822,0.3104779886969055,0.5498100926469226,0.5333282246085307,0.7061719379466329,0.2032385400647156,-0.1004406113591953,-0.0033656562829331,-1.0,-0.0880087359194125,0.2075540138887421,-1.0,-0.1004406113591954,2.22,0.0,-0.0033656562829332,3.21,0.0,-0.0880087359194125,1.71,0.0,,,,1501.62,1.0009,10,1507.6,1.0049,10,-0.6461,-0.6455,0.7503,0.7466,-0.5087,-0.5082,1.3115,1.3051,-0.8151,-0.8144,-0.8821,-0.8778,0.4505,0.3115,1,1.21,1.718,2.6871,5.5161,0.3771,0.7741,-0.276,-0.046,-0.0452,-0.001,0.4771,0.5223,NEUTRO
8266583,Australia_1 A-League,16036,1775205300,601,1281177,Adelaide United,Auckland,incomplete,3.62,4.02,1.96,0.0,0.0,1.63,1.45,1.82,1.91,2026-04-03 05:35,39.16105386653612,0.1089999999999999,0.1799999999999999,0.0999999999999999,-0.0899999999999998,0.2000000000000001,0.1,10,10,1541.004452342179,1551.843398475643,1.8240000000000005,1.7150000000000003,0.5,0.4,2.1,1.9,0.6,0.8,0.4025784583062903,0.3115753992590289,0.5396093230896882,0.5286516863292113,0.7098712963125022,0.1855714763429425,0.4573340190687709,-0.3893122174523034,-1.0,-1.0,-1.0,-1.0,0.4573340190687709,3.62,0.0,-0.3893122174523034,1.96,0.0,,,,,,,1493.58,0.9956,10,1494.62,0.9963,10,0.844,0.8477,1.0957,1.0998,0.7354,0.7387,1.2159,1.2204,-0.0008,-0.0008,0.0387,0.0388,0.2762,0.5102,1,1.99,1.826,7.2024,3.579,1.0151,0.5044,0.276,0.185,0.1263,-0.1986,0.6892,0.261,VALOR_REAL_CASA
8269962,Australia_1 A-League,16036,1775124000,604,606,Brisbane Roar,Sydney FC,incomplete,3.54,3.6,2.1,0.0,1.75,1.57,1.51,1.09,1.45,2026-04-02 07:00,-10.958897506832727,-0.0929999999999999,0.06,-0.1999999999999999,-0.3599999999999999,0.0,0.5,10,10,1428.876432194373,1489.8353297012054,1.591,1.684,0.1,0.3,1.1,1.1,0.6,0.5,0.3243467278451054,0.4047656357795627,0.5424492512972423,0.5308940283193171,0.7132969128530857,0.193927100665264,0.1481874165716732,-0.1499921648629183,-1.0,-0.070935450441195,0.2482695974929001,-1.0,0.148187416571673,3.54,0.0,-0.1499921648629183,2.1,0.0,-0.070935450441195,1.75,0.0,,,,1481.59,0.9876,10,1505.99,1.0038,10,-0.6461,-0.6542,-0.286,-0.2849,0.0883,0.0894,1.1203,1.1161,-1.6295,-1.65,-0.4217,-0.4201,0.2825,0.4762,1,1.296,1.334,4.5893,2.8006,0.6173,0.3767,-0.491,-0.584,0.0419,-0.0714,0.6162,0.3606,NEUTRO
8501089,Belgica_1 Pro League,14937,1775241900,1048,533,Royal Antwerp FC,KRC Genk,incomplete,3.0,3.6,2.3,0.0,0.0,1.26,1.76,1.17,1.4,2026-04-03 15:45,-9.352584027705234,-0.4379999999999999,-0.5,-0.3,-0.2299999999999999,-1.2,-0.5,10,10,1459.514079322794,1518.8666633504993,1.109,1.547,0.2,0.5,0.7,1.9,0.2,0.7,0.265616482646836,0.4517075196628395,0.5474802640706483,0.4778189400915124,0.683164854683848,0.200845599955446,-0.2031505520594918,0.0389272952245309,-1.0,-1.0,-1.0,-1.0,-0.2031505520594919,3.0,0.0,0.0389272952245307,2.3,0.0,,,,,,,1502.15,1.0013,10,1517.9,1.0118,10,-1.2421,-1.2405,1.0957,1.0829,-1.2502,-1.2486,0.6977,0.6896,-1.2223,-1.2207,0.4991,0.4933,0.3333,0.4348,1,0.864,1.759,2.5908,4.0452,0.3755,0.5863,-0.409,0.353,-0.0677,0.0169,0.2916,0.4105,NEUTRO
8255837,Bulgaria_1 First League,15056,1775302200,9985,3612,Arda,Montana,incomplete,1.47,3.78,7.75,0.0,0.0,1.72,1.13,1.46,0.43,2026-04-04 08:30,235.33220671355505,0.4249999999999998,0.5900000000000001,0.5,1.03,1.1,-0.5000000000000001,10,10,1526.913545670545,1341.58133895699,1.473,1.048,0.5,0.0,1.2,0.1,0.3,0.2,0.6991278757440831,0.1127223824095182,0.5394023942481483,0.5693227841745518,0.7294407177227162,0.2078713325453784,0.0277179773438021,-0.1264015363262334,-1.0,-1.0,-1.0,-1.0,0.0277179773438021,1.47,0.0,-0.1264015363262339,7.75,0.0,,,,,,,1465.23,0.977,10,1477.13,0.9849,10,-0.4971,-0.5088,-2.0131,-2.044,-0.2394,-0.245,-0.8415,-0.8544,-0.0008,-0.0008,-1.8029,-1.8305,0.6803,0.129,1,1.309,0.479,1.9245,3.7138,0.1689,0.326,-0.273,-0.948,0.0189,-0.0163,0.4091,0.089,NEUTRO
8255847,Bulgaria_1 First League,15056,1775234700,3606,3629,Lokomotiv Plovdiv,Lokomotiv Sofia 1929,incomplete,2.15,3.1,3.25,0.0,0.0,1.32,1.29,1.79,1.23,2026-04-03 13:45,85.45019748228879,-0.0780000000000002,0.03,-0.1,0.56,-1.1,-0.5,10,10,1526.4885163569916,1491.0383188747028,1.3459999999999996,1.424,0.3,0.4,0.9,2.0,0.3,0.8,0.4323075038414393,0.2852020388742682,0.5381783955864656,0.5062903068156587,0.6934713295955802,0.2078797057885466,-0.0705388667409054,-0.0730933736586281,-1.0,-1.0,-1.0,-1.0,-0.0705388667409055,2.15,0.0,-0.0730933736586283,3.25,0.0,,,,,,,1523.72,1.016,10,1516.29,1.011,10,-0.9441,-0.9292,1.2684,1.2546,-0.5921,-0.5828,0.3183,0.3148,-0.8151,-0.8023,0.0387,0.0383,0.4651,0.3077,1,1.078,1.77,2.3186,5.7512,0.3318,0.8231,-0.446,0.576,-0.0328,-0.0225,0.4774,0.3581,NEUTRO
7963502,Croacia_1 HNL,15053,1775232900,1881,1875,Varaždin,Gorica,incomplete,2.1,3.1,3.05,1.85,2.06,1.54,1.46,1.69,1.0,2026-04-03 13:15,77.59684984862838,0.1359999999999999,0.08,0.1,0.69,0.1,0.4000000000000001,10,10,1496.8819269887003,1469.285077140072,1.46,1.324,0.4,0.3,1.3,1.2,0.6,0.5,0.4312619455459182,0.2868675135158053,0.535476107328673,0.4977601646132881,0.6933540243881657,0.1954794808285478,-0.0943499143535716,-0.1250540837767937,-0.0093692014419548,0.0253859391033735,0.4283092902396215,-0.6383629604671863,-0.0943499143535717,2.1,0.0,-0.1250540837767938,3.05,0.0,0.0253859391033735,2.06,0.0,-0.0093692014419548,1.85,0.0,1493.98,0.9959,10,1508.37,1.0055,10,-0.3481,-0.3495,-0.1133,-0.1127,-0.2755,-0.2766,0.0099,0.0098,-0.408,-0.4097,-0.4217,-0.4194,0.4762,0.3279,1,1.364,1.25,2.8644,3.8113,0.4472,0.595,-0.16,-0.124,-0.0449,-0.041,0.5357,0.527,NEUTRO
8200629,Espanha_1 La Liga,14956,1775304000,290,292,Real Sociedad,Levante UD,incomplete,0.0,0.0,0.0,0.0,0.0,1.54,1.11,1.71,0.86,2026-04-04 09:00,132.2161214115788,-0.2059999999999999,0.4299999999999999,0.2,0.85,0.7,0.1999999999999999,10,10,1512.2515433653198,1430.035421953741,1.3010000000000002,1.507,0.5,0.3,2.0,1.3,0.8,0.4,0.5170226562238317,0.2496623798108004,0.5545443517865849,0.6125312067833568,0.7497430063914489,0.2206513952448084,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,1524.99,1.0168,10,1490.68,0.9939,10,0.695,0.6835,0.0594,0.0598,-0.717,-0.7052,0.5743,0.5778,-0.0008,-0.0008,-0.4217,-0.4243,0.45,0.3,0,1.72,1.383,3.8231,4.6093,0.5161,0.6223,0.699,-0.207,0.067,-0.0503,0.6254,0.5126,NEUTRO
8200637,Espanha_1 La Liga,14956,1775242800,291,295,Rayo Vallecano,Elche CF,incomplete,0.0,0.0,0.0,0.0,0.0,1.72,1.01,1.43,0.29,2026-04-03 16:00,91.36582282443852,0.1729999999999998,0.71,0.1,1.14,-0.1,-0.9000000000000001,10,10,1468.660862899167,1427.2950400747284,1.461,1.288,0.2,0.1,1.2,1.3,0.5,0.9,0.5293397692130284,0.2404291452332459,0.5429170790649877,0.5869180316082782,0.737836418410604,0.2236736318354351,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,1521.22,1.0142,10,1518.85,1.0127,10,-0.4971,-0.4901,0.0594,0.0587,-0.2727,-0.2689,-0.1012,-0.0999,-1.2223,-1.2052,-1.3425,-1.3257,0.45,0.3,0,1.304,1.295,2.8987,4.3173,0.3913,0.5828,-0.261,0.012,0.0793,-0.0596,0.6589,0.6434,NEUTRO
8234909,Espanha_2 Segunda Division,15066,1774728000,316,6257,Albacete Balompié,CD Castellón,incomplete,2.55,3.4,2.25,1.55,1.71,1.51,1.59,1.4,1.25,2026-03-28 17:00,38.237384423193134,-0.252,-0.08,0.0999999999999999,0.1499999999999999,-0.3,-0.7000000000000001,10,10,1527.9000963916212,1539.662711968428,1.3969999999999998,1.6489999999999998,0.5,0.4,1.3,1.6,0.3,0.4,0.3594665922390078,0.3548917765265595,0.5511940984471089,0.5332229960942071,0.7110491780422692,0.1979347406264494,-0.0833601897905301,-0.2014935028152409,-0.1456491474069812,-0.0881886766789058,0.2158940944522802,-0.6932011520290035,-0.0833601897905301,2.55,0.0,-0.2014935028152411,2.25,0.0,-0.0881886766789058,1.71,0.0,-0.1456491474069812,1.55,0.0,1533.33,1.0224,10,1484.21,0.9896,10,-0.3481,-0.3405,0.5775,0.5836,-0.4504,-0.4405,1.0123,1.0229,-0.0008,-0.0008,0.0387,0.0391,0.3922,0.4444,1,1.339,1.62,3.4139,3.6441,0.595,0.6351,-0.097,-0.049,-0.0327,-0.0896,0.73,0.354,NEUTRO
