Liga,time,total_jogos_ca,total_jogos_fo,total_jogos_ht_ca,total_jogos_ht_fo,over05_ht_casa,over15_ht_casa,over25_ht_casa,over05_ht_fora,over15_ht_fora,over25_ht_fora,over05_2h_casa,over15_2h_casa,over25_2h_casa,over05_2h_fora,over15_2h_fora,over25_2h_fora,media_gols_ht_casa,media_gols_ht_fora,media_gols_2h_casa,media_gols_2h_fora,%Gl_Ca_0_10M,%Gl_Fo_0_10M,%Gl_Ca_11_20M,%Gl_Fo_11_20M,%Gl_Ca_21_30M,%Gl_Fo_21_30M,%Gl_Ca_31_40M,%Gl_Fo_31_40M,%Gl_Ca_41_50M,%Gl_Fo_41_50M,%Gl_Ca_51_60M,%Gl_Fo_51_60M,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Franca_2 Ligue 2,Clermont,14,14,14,14,57.1,14.3,0.0,50.0,35.7,28.6,71.4,42.9,21.4,85.7,35.7,14.3,0.71,1.29,1.43,1.36,7.1,7.1,7.1,14.3,7.1,14.3,0.0,0.0,21.4,21.4,7.1,21.4,28.6,0.0,0.0,7.1,28.6,21.4
Franca_2 Ligue 2,Dunkerque,14,13,14,13,64.3,42.9,21.4,84.6,38.5,15.4,78.6,42.9,7.1,69.2,23.1,15.4,1.36,1.38,1.36,1.15,35.7,15.4,7.1,0.0,14.3,23.1,21.4,23.1,14.3,23.1,28.6,30.8,28.6,23.1,14.3,0.0,0.0,7.7
Franca_2 Ligue 2,Grenoble Foot 38,14,14,14,14,28.6,7.1,0.0,71.4,21.4,7.1,57.1,42.9,7.1,78.6,42.9,42.9,0.36,1.0,1.14,1.71,7.1,7.1,7.1,14.3,14.3,7.1,0.0,21.4,14.3,0.0,0.0,7.1,0.0,0.0,14.3,42.9,14.3,14.3
Franca_2 Ligue 2,Guingamp,14,13,14,13,71.4,42.9,14.3,76.9,38.5,23.1,64.3,28.6,21.4,69.2,53.8,38.5,1.29,1.46,1.29,1.62,7.1,15.4,21.4,23.1,28.6,15.4,14.3,7.7,0.0,0.0,21.4,23.1,7.1,30.8,7.1,7.7,21.4,30.8
Franca_2 Ligue 2,Laval,14,14,14,14,71.4,14.3,7.1,57.1,35.7,14.3,78.6,42.9,21.4,64.3,28.6,7.1,1.0,1.07,1.5,1.07,0.0,0.0,14.3,14.3,7.1,7.1,14.3,14.3,7.1,7.1,7.1,28.6,0.0,0.0,7.1,7.1,35.7,0.0
Franca_2 Ligue 2,Le Mans,14,14,14,14,28.6,7.1,0.0,78.6,57.1,14.3,71.4,21.4,14.3,78.6,57.1,28.6,0.36,1.64,1.14,1.86,0.0,14.3,14.3,21.4,7.1,21.4,7.1,42.9,14.3,14.3,0.0,14.3,28.6,14.3,0.0,14.3,28.6,35.7
Franca_2 Ligue 2,Montpellier,14,14,14,14,71.4,42.9,7.1,50.0,7.1,0.0,64.3,42.9,28.6,64.3,21.4,7.1,1.21,0.57,1.43,0.93,7.1,14.3,7.1,0.0,0.0,14.3,7.1,0.0,35.7,0.0,35.7,7.1,7.1,14.3,21.4,7.1,35.7,21.4
Franca_2 Ligue 2,Nancy,14,14,14,14,71.4,28.6,7.1,57.1,28.6,7.1,64.3,28.6,21.4,78.6,35.7,14.3,1.07,0.93,1.21,1.36,7.1,7.1,21.4,21.4,7.1,7.1,7.1,0.0,7.1,7.1,0.0,28.6,7.1,0.0,0.0,21.4,21.4,0.0
Franca_2 Ligue 2,Pau,15,13,15,13,80.0,46.7,26.7,84.6,53.8,38.5,80.0,33.3,13.3,69.2,38.5,15.4,1.6,1.92,1.27,1.23,26.7,7.7,13.3,15.4,20.0,15.4,20.0,30.8,6.7,15.4,20.0,23.1,6.7,15.4,6.7,0.0,6.7,38.5
Franca_2 Ligue 2,Red Star,13,14,13,14,61.5,23.1,15.4,57.1,28.6,0.0,69.2,38.5,23.1,71.4,35.7,14.3,1.0,0.86,1.31,1.21,15.4,14.3,7.7,7.1,15.4,14.3,23.1,7.1,0.0,14.3,7.7,7.1,0.0,14.3,15.4,21.4,23.1,28.6
Franca_2 Ligue 2,Reims,13,14,13,14,61.5,38.5,23.1,64.3,50.0,21.4,61.5,23.1,15.4,71.4,28.6,0.0,1.23,1.57,1.0,1.0,15.4,0.0,23.1,7.1,23.1,21.4,7.7,14.3,23.1,35.7,7.7,7.1,15.4,7.1,7.7,7.1,23.1,42.9
Franca_2 Ligue 2,Rodez,14,14,14,14,57.1,28.6,0.0,64.3,21.4,7.1,71.4,28.6,7.1,92.9,71.4,21.4,0.86,1.0,1.07,1.93,7.1,21.4,7.1,7.1,28.6,7.1,7.1,0.0,0.0,14.3,0.0,21.4,7.1,14.3,28.6,7.1,21.4,50.0
Franca_2 Ligue 2,Saint-Étienne,13,14,13,14,76.9,46.2,30.8,57.1,35.7,14.3,84.6,53.8,23.1,78.6,35.7,7.1,1.62,1.14,1.62,1.21,15.4,21.4,7.7,14.3,38.5,14.3,15.4,14.3,53.8,7.1,23.1,14.3,7.7,14.3,38.5,21.4,15.4,7.1
Franca_2 Ligue 2,Troyes,14,13,14,13,85.7,42.9,21.4,38.5,23.1,7.7,71.4,57.1,35.7,76.9,30.8,7.7,1.64,0.69,1.64,1.23,14.3,7.7,14.3,0.0,14.3,15.4,21.4,7.7,42.9,7.7,21.4,23.1,14.3,15.4,35.7,15.4,35.7,15.4
Grecia_1 Super League,AEK Athens,12,13,12,13,66.7,8.3,0.0,61.5,38.5,7.7,75.0,41.7,25.0,76.9,53.8,30.8,0.75,1.08,1.5,1.69,16.7,7.7,16.7,7.7,16.7,7.7,8.3,23.1,8.3,15.4,41.7,23.1,41.7,38.5,16.7,15.4,16.7,46.2
Grecia_1 Super League,Aris,12,13,12,13,50.0,16.7,0.0,61.5,15.4,7.7,50.0,33.3,8.3,76.9,23.1,15.4,0.67,0.85,0.92,1.15,0.0,7.7,8.3,0.0,16.7,15.4,0.0,7.7,16.7,7.7,0.0,7.7,25.0,0.0,8.3,23.1,8.3,7.7
Grecia_1 Super League,Asteras Tripolis,12,13,12,13,91.7,33.3,8.3,76.9,15.4,0.0,75.0,33.3,8.3,69.2,46.2,7.7,1.5,0.92,1.17,1.23,16.7,0.0,8.3,7.7,8.3,0.0,8.3,7.7,25.0,7.7,0.0,7.7,16.7,0.0,41.7,7.7,0.0,7.7
Grecia_1 Super League,Atromitos,13,12,13,12,84.6,30.8,7.7,58.3,25.0,0.0,69.2,23.1,15.4,83.3,25.0,8.3,1.23,0.83,1.08,1.25,0.0,16.7,23.1,8.3,30.8,8.3,7.7,8.3,7.7,16.7,0.0,0.0,0.0,0.0,15.4,33.3,15.4,16.7
Grecia_1 Super League,Kifisia,13,12,13,12,69.2,30.8,15.4,83.3,41.7,16.7,76.9,46.2,23.1,66.7,58.3,25.0,1.15,1.5,1.54,1.5,7.7,0.0,38.5,16.7,15.4,25.0,0.0,16.7,7.7,16.7,7.7,16.7,7.7,8.3,23.1,8.3,23.1,16.7
Grecia_1 Super League,Larissa,13,12,13,12,69.2,38.5,23.1,75.0,33.3,0.0,69.2,30.8,7.7,75.0,50.0,0.0,1.38,1.08,1.15,1.25,7.7,0.0,7.7,0.0,7.7,0.0,15.4,16.7,15.4,25.0,15.4,16.7,7.7,8.3,7.7,0.0,7.7,16.7
Grecia_1 Super League,Levadiakos,12,13,12,13,83.3,50.0,25.0,92.3,30.8,23.1,91.7,66.7,41.7,92.3,46.2,23.1,1.75,1.46,2.08,1.69,33.3,23.1,8.3,7.7,0.0,7.7,33.3,0.0,58.3,23.1,33.3,23.1,58.3,7.7,16.7,23.1,16.7,30.8
Grecia_1 Super League,OFI,13,12,13,12,84.6,46.2,15.4,75.0,50.0,33.3,84.6,46.2,7.7,83.3,50.0,16.7,1.46,1.58,1.38,1.75,23.1,33.3,23.1,16.7,7.7,0.0,15.4,0.0,23.1,25.0,7.7,16.7,23.1,8.3,30.8,0.0,0.0,0.0
Grecia_1 Super League,Olympiakos Piraeus,12,13,12,13,66.7,16.7,0.0,46.2,15.4,0.0,66.7,41.7,25.0,76.9,53.8,15.4,0.83,0.62,1.58,1.46,0.0,15.4,8.3,0.0,8.3,23.1,41.7,15.4,25.0,7.7,16.7,30.8,33.3,23.1,0.0,15.4,66.7,30.8
Grecia_1 Super League,PAOK,13,12,13,12,61.5,23.1,23.1,83.3,50.0,8.3,69.2,30.8,7.7,83.3,25.0,25.0,1.23,1.58,1.08,1.42,30.8,16.7,15.4,16.7,15.4,33.3,15.4,16.7,46.2,33.3,23.1,16.7,7.7,8.3,30.8,16.7,23.1,41.7
Grecia_1 Super League,Panaitolikos,12,13,12,13,75.0,50.0,25.0,61.5,23.1,15.4,83.3,41.7,16.7,53.8,15.4,0.0,1.5,1.15,1.67,0.69,0.0,7.7,16.7,7.7,16.7,7.7,8.3,7.7,8.3,7.7,8.3,0.0,33.3,7.7,25.0,7.7,8.3,15.4
Grecia_1 Super League,Panathinaikos,13,12,13,12,69.2,38.5,23.1,91.7,25.0,0.0,76.9,46.2,15.4,75.0,50.0,25.0,1.31,1.17,1.38,1.5,38.5,25.0,23.1,8.3,15.4,0.0,15.4,16.7,23.1,25.0,7.7,25.0,23.1,16.7,15.4,8.3,30.8,16.7
Grecia_1 Super League,Panserraikos,13,12,13,12,61.5,23.1,0.0,83.3,50.0,33.3,76.9,53.8,23.1,58.3,41.7,16.7,0.85,1.83,1.62,1.42,0.0,0.0,7.7,16.7,7.7,0.0,0.0,8.3,0.0,16.7,15.4,0.0,7.7,8.3,0.0,0.0,23.1,16.7
Grecia_1 Super League,Volos NFC,12,13,12,13,75.0,41.7,0.0,61.5,38.5,23.1,75.0,41.7,0.0,69.2,38.5,15.4,1.17,1.23,1.17,1.31,8.3,7.7,8.3,15.4,16.7,23.1,8.3,0.0,8.3,15.4,8.3,7.7,16.7,0.0,8.3,15.4,16.7,7.7
Holanda_1 Eredivisie,AZ,13,14,13,14,76.9,69.2,38.5,71.4,57.1,7.1,92.3,53.8,23.1,85.7,42.9,7.1,2.0,1.43,1.85,1.36,30.8,7.1,15.4,21.4,7.7,14.3,53.8,0.0,23.1,7.1,23.1,14.3,15.4,7.1,7.7,35.7,46.2,21.4
Holanda_1 Eredivisie,Ajax,14,13,14,13,100.0,50.0,7.1,84.6,61.5,15.4,85.7,28.6,0.0,84.6,69.2,23.1,1.64,1.69,1.14,1.92,14.3,7.7,50.0,15.4,21.4,15.4,42.9,23.1,7.1,38.5,14.3,38.5,0.0,7.7,14.3,15.4,35.7,23.1
Holanda_1 Eredivisie,Excelsior,14,14,14,14,64.3,21.4,7.1,78.6,35.7,14.3,78.6,50.0,7.1,85.7,57.1,14.3,0.93,1.43,1.43,1.64,21.4,7.1,14.3,14.3,7.1,7.1,0.0,14.3,7.1,21.4,0.0,7.1,0.0,0.0,35.7,14.3,14.3,21.4
Holanda_1 Eredivisie,Feyenoord,14,13,14,13,92.9,35.7,21.4,92.3,46.2,38.5,85.7,57.1,42.9,76.9,38.5,23.1,1.57,2.0,2.29,1.46,7.1,15.4,28.6,7.7,21.4,38.5,28.6,38.5,35.7,23.1,35.7,30.8,7.1,15.4,21.4,15.4,57.1,15.4
Holanda_1 Eredivisie,Fortuna Sittard,13,14,13,14,92.3,46.2,23.1,100.0,57.1,28.6,84.6,69.2,15.4,71.4,42.9,21.4,1.69,1.93,1.69,1.5,30.8,7.1,15.4,14.3,15.4,7.1,7.7,21.4,30.8,14.3,23.1,14.3,7.7,14.3,7.7,14.3,30.8,35.7
Holanda_1 Eredivisie,Go Ahead Eagles,14,13,14,13,78.6,35.7,21.4,69.2,53.8,23.1,85.7,71.4,35.7,92.3,53.8,15.4,1.43,1.46,2.0,1.62,14.3,23.1,21.4,0.0,7.1,7.7,0.0,15.4,42.9,7.7,28.6,15.4,21.4,15.4,21.4,23.1,42.9,23.1
Holanda_1 Eredivisie,Groningen,13,14,13,14,69.2,38.5,15.4,57.1,28.6,7.1,84.6,46.2,7.7,100.0,64.3,14.3,1.23,1.0,1.38,1.86,23.1,7.1,7.7,7.1,23.1,0.0,23.1,21.4,0.0,7.1,15.4,14.3,7.7,28.6,15.4,7.1,38.5,28.6
Holanda_1 Eredivisie,Heerenveen,14,13,14,13,92.9,35.7,14.3,76.9,46.2,15.4,92.9,71.4,21.4,84.6,69.2,23.1,1.43,1.38,2.07,1.85,7.1,0.0,0.0,7.7,28.6,23.1,21.4,23.1,35.7,15.4,14.3,23.1,21.4,38.5,21.4,7.7,42.9,15.4
Holanda_1 Eredivisie,Heracles,14,14,14,14,71.4,50.0,35.7,100.0,35.7,28.6,85.7,50.0,35.7,100.0,71.4,28.6,1.79,1.64,1.86,2.07,14.3,0.0,7.1,7.1,28.6,14.3,14.3,0.0,21.4,7.1,21.4,28.6,21.4,0.0,7.1,14.3,21.4,7.1
Holanda_1 Eredivisie,NAC Breda,14,13,14,13,71.4,35.7,21.4,84.6,23.1,15.4,78.6,35.7,14.3,76.9,46.2,23.1,1.43,1.23,1.36,1.62,0.0,7.7,7.1,7.7,14.3,0.0,21.4,7.7,21.4,15.4,21.4,15.4,7.1,0.0,0.0,7.7,35.7,15.4
Holanda_1 Eredivisie,NEC,13,14,13,14,92.3,61.5,23.1,92.9,57.1,28.6,100.0,84.6,30.8,92.9,71.4,35.7,1.85,1.79,2.38,2.29,23.1,21.4,23.1,21.4,15.4,7.1,23.1,28.6,38.5,21.4,53.8,14.3,38.5,42.9,23.1,21.4,30.8,50.0
Holanda_1 Eredivisie,PEC Zwolle,13,14,13,14,76.9,46.2,7.7,85.7,64.3,35.7,53.8,46.2,7.7,100.0,57.1,21.4,1.31,2.07,1.15,1.93,30.8,14.3,0.0,28.6,15.4,0.0,15.4,0.0,23.1,35.7,0.0,14.3,15.4,21.4,0.0,14.3,23.1,14.3
Holanda_1 Eredivisie,PSV,14,13,14,13,100.0,85.7,50.0,92.3,53.8,23.1,92.9,57.1,28.6,84.6,53.8,23.1,2.5,1.85,2.07,1.77,35.7,30.8,28.6,30.8,35.7,46.2,35.7,30.8,71.4,7.7,7.1,30.8,28.6,23.1,7.1,38.5,57.1,23.1
Holanda_1 Eredivisie,Sparta Rotterdam,13,14,13,14,69.2,15.4,0.0,78.6,21.4,7.1,84.6,61.5,23.1,85.7,64.3,28.6,0.85,1.07,1.85,2.14,7.7,7.1,0.0,7.1,30.8,0.0,7.7,14.3,7.7,0.0,23.1,7.1,7.7,28.6,0.0,14.3,30.8,50.0
Holanda_1 Eredivisie,Telstar,13,14,13,14,84.6,53.8,23.1,64.3,21.4,14.3,100.0,69.2,15.4,78.6,42.9,14.3,1.62,1.0,1.85,1.5,15.4,14.3,7.7,7.1,15.4,7.1,7.7,0.0,38.5,7.1,7.7,21.4,7.7,28.6,15.4,7.1,46.2,7.1
Holanda_1 Eredivisie,Twente,14,13,14,13,71.4,21.4,0.0,69.2,23.1,0.0,78.6,42.9,28.6,92.3,61.5,30.8,0.93,0.92,1.64,2.0,7.1,0.0,14.3,30.8,7.1,23.1,14.3,0.0,28.6,30.8,14.3,38.5,21.4,7.7,21.4,7.7,28.6,38.5
Holanda_1 Eredivisie,Utrecht,13,14,13,14,84.6,23.1,0.0,78.6,35.7,0.0,69.2,53.8,23.1,71.4,50.0,28.6,1.08,1.14,1.46,1.57,7.7,7.1,7.7,7.1,15.4,7.1,23.1,7.1,23.1,50.0,30.8,7.1,23.1,21.4,15.4,7.1,15.4,21.4
Holanda_1 Eredivisie,Volendam,14,13,14,13,78.6,42.9,0.0,92.3,46.2,7.7,100.0,50.0,21.4,69.2,38.5,7.7,1.21,1.46,1.79,1.15,14.3,0.0,7.1,0.0,7.1,0.0,0.0,7.7,35.7,7.7,28.6,7.7,21.4,15.4,21.4,0.0,28.6,15.4
Holanda_2 Eerste Divisie,ADO Den Haag,16,16,16,16,68.8,62.5,12.5,75.0,43.8,0.0,87.5,43.8,25.0,87.5,62.5,25.0,1.56,1.19,1.62,2.06,12.5,31.2,12.5,12.5,25.0,25.0,31.2,18.8,25.0,18.8,25.0,37.5,18.8,25.0,37.5,18.8,37.5,37.5
Holanda_2 Eerste Divisie,AZ II,16,17,16,17,93.8,31.2,18.8,88.2,64.7,29.4,87.5,68.8,37.5,76.5,70.6,47.1,1.5,1.82,2.0,2.12,12.5,11.8,6.2,23.5,18.8,29.4,12.5,5.9,6.2,35.3,25.0,23.5,18.8,29.4,6.2,17.6,31.2,29.4
Holanda_2 Eerste Divisie,Ajax II,17,16,17,16,76.5,41.2,17.6,75.0,18.8,12.5,88.2,52.9,29.4,93.8,62.5,25.0,1.41,1.06,1.82,2.0,5.9,12.5,17.6,6.2,11.8,0.0,23.5,6.2,11.8,6.2,29.4,18.8,11.8,6.2,0.0,37.5,47.1,18.8
Holanda_2 Eerste Divisie,Almere City,16,17,16,17,68.8,50.0,12.5,88.2,52.9,23.5,93.8,62.5,31.2,100.0,52.9,29.4,1.31,1.76,2.12,2.12,6.2,17.6,25.0,17.6,12.5,17.6,37.5,17.6,25.0,17.6,18.8,23.5,12.5,17.6,37.5,29.4,43.8,35.3
Holanda_2 Eerste Divisie,Cambuur,17,15,17,15,76.5,41.2,17.6,80.0,46.7,20.0,82.4,64.7,35.3,66.7,46.7,26.7,1.41,1.53,2.0,1.47,23.5,6.7,17.6,33.3,5.9,26.7,35.3,6.7,17.6,20.0,23.5,6.7,29.4,26.7,29.4,26.7,47.1,26.7
Holanda_2 Eerste Divisie,De Graafschap,16,15,16,15,81.2,43.8,12.5,80.0,53.3,26.7,87.5,56.2,43.8,93.3,53.3,20.0,1.44,1.6,2.12,1.73,25.0,26.7,25.0,6.7,25.0,20.0,6.2,26.7,12.5,26.7,50.0,0.0,6.2,13.3,18.8,20.0,25.0,40.0
Holanda_2 Eerste Divisie,Den Bosch,16,16,16,16,75.0,56.2,25.0,93.8,56.2,25.0,81.2,50.0,25.0,87.5,43.8,25.0,1.69,1.94,1.69,1.69,18.8,18.8,43.8,6.2,31.2,12.5,6.2,18.8,18.8,12.5,6.2,18.8,18.8,6.2,12.5,25.0,43.8,25.0
Holanda_2 Eerste Divisie,Dordrecht,16,17,16,17,62.5,31.2,12.5,70.6,29.4,17.6,75.0,43.8,25.0,88.2,64.7,11.8,1.06,1.18,1.56,1.65,25.0,11.8,12.5,0.0,12.5,5.9,0.0,23.5,18.8,11.8,18.8,0.0,12.5,17.6,25.0,35.3,12.5,23.5
Holanda_2 Eerste Divisie,Eindhoven,15,17,15,17,73.3,53.3,26.7,70.6,35.3,11.8,86.7,53.3,40.0,76.5,58.8,23.5,1.67,1.18,1.87,1.76,26.7,5.9,20.0,5.9,13.3,17.6,13.3,11.8,26.7,0.0,20.0,17.6,20.0,0.0,6.7,17.6,40.0,29.4
Holanda_2 Eerste Divisie,Emmen,16,15,16,15,93.8,43.8,37.5,60.0,40.0,13.3,81.2,43.8,25.0,93.3,60.0,33.3,1.88,1.2,1.62,2.0,18.8,20.0,31.2,6.7,18.8,0.0,18.8,6.7,25.0,6.7,12.5,13.3,6.2,6.7,25.0,26.7,37.5,26.7
Holanda_2 Eerste Divisie,Helmond Sport,17,16,17,16,88.2,35.3,5.9,68.8,37.5,6.2,82.4,70.6,23.5,68.8,56.2,18.8,1.29,1.12,1.82,1.5,5.9,18.8,0.0,0.0,23.5,12.5,41.2,6.2,11.8,0.0,35.3,6.2,5.9,6.2,17.6,0.0,17.6,18.8
Holanda_2 Eerste Divisie,MVV,15,17,15,17,73.3,40.0,13.3,76.5,47.1,11.8,86.7,60.0,33.3,82.4,41.2,29.4,1.33,1.35,2.0,1.59,26.7,5.9,13.3,11.8,13.3,11.8,6.7,5.9,13.3,0.0,13.3,23.5,33.3,11.8,6.7,5.9,40.0,5.9
Holanda_2 Eerste Divisie,Oss,17,16,17,16,82.4,23.5,11.8,50.0,25.0,25.0,88.2,64.7,29.4,75.0,50.0,12.5,1.24,1.31,2.0,1.38,11.8,6.2,29.4,0.0,5.9,25.0,5.9,6.2,17.6,12.5,29.4,6.2,11.8,18.8,11.8,12.5,17.6,18.8
Holanda_2 Eerste Divisie,PSV II,17,16,17,16,82.4,41.2,11.8,93.8,56.2,31.2,88.2,58.8,29.4,87.5,43.8,37.5,1.35,2.12,1.88,1.94,23.5,18.8,23.5,18.8,23.5,37.5,29.4,25.0,17.6,12.5,29.4,25.0,11.8,18.8,11.8,18.8,11.8,18.8
Holanda_2 Eerste Divisie,RKC Waalwijk,16,16,16,16,87.5,50.0,12.5,81.2,31.2,18.8,75.0,56.2,18.8,93.8,43.8,31.2,1.5,1.38,1.62,1.81,31.2,6.2,43.8,25.0,0.0,18.8,6.2,18.8,25.0,18.8,6.2,18.8,0.0,25.0,18.8,25.0,31.2,18.8
Holanda_2 Eerste Divisie,Roda JC,17,16,17,16,70.6,41.2,17.6,81.2,56.2,18.8,76.5,47.1,23.5,93.8,50.0,12.5,1.35,1.56,1.53,1.56,5.9,0.0,17.6,6.2,11.8,31.2,11.8,18.8,17.6,18.8,17.6,31.2,17.6,6.2,11.8,18.8,29.4,37.5
Holanda_2 Eerste Divisie,Utrecht II,17,16,17,16,76.5,47.1,35.3,62.5,18.8,0.0,88.2,58.8,29.4,87.5,56.2,31.2,1.76,0.81,2.0,1.81,5.9,12.5,29.4,6.2,17.6,0.0,23.5,6.2,35.3,6.2,29.4,25.0,23.5,25.0,5.9,6.2,29.4,18.8
Holanda_2 Eerste Divisie,VVV,16,17,16,17,56.2,6.2,6.2,70.6,35.3,11.8,93.8,50.0,25.0,94.1,64.7,29.4,0.69,1.18,1.75,1.94,0.0,11.8,0.0,17.6,18.8,0.0,6.2,0.0,18.8,5.9,12.5,17.6,6.2,17.6,12.5,29.4,31.2,41.2
Holanda_2 Eerste Divisie,Vitesse,16,17,16,17,93.8,56.2,18.8,88.2,29.4,5.9,87.5,37.5,6.2,76.5,52.9,41.2,1.69,1.24,1.31,1.82,12.5,5.9,6.2,5.9,31.2,11.8,25.0,29.4,18.8,5.9,12.5,29.4,6.2,17.6,12.5,0.0,25.0,52.9
Holanda_2 Eerste Divisie,Willem II,15,16,15,16,60.0,33.3,0.0,87.5,50.0,18.8,80.0,40.0,0.0,75.0,50.0,25.0,0.93,1.56,1.2,1.62,0.0,12.5,6.7,12.5,20.0,31.2,20.0,37.5,13.3,6.2,20.0,12.5,0.0,6.2,13.3,18.8,33.3,25.0
Hungria_1 NB I,Debrecen,13,13,13,13,46.2,30.8,15.4,69.2,30.8,7.7,92.3,53.8,23.1,92.3,46.2,23.1,0.92,1.08,1.85,1.62,7.7,7.7,23.1,7.7,7.7,15.4,7.7,7.7,38.5,23.1,38.5,7.7,7.7,38.5,15.4,7.7,0.0,46.2
Hungria_1 NB I,Diósgyőr,13,13,13,13,69.2,30.8,7.7,76.9,61.5,23.1,92.3,46.2,15.4,92.3,46.2,15.4,1.08,1.69,1.54,1.62,7.7,7.7,7.7,23.1,15.4,7.7,15.4,23.1,15.4,7.7,15.4,7.7,23.1,7.7,15.4,0.0,15.4,38.5
Hungria_1 NB I,Ferencváros,12,13,12,13,75.0,66.7,16.7,69.2,30.8,23.1,83.3,50.0,25.0,100.0,30.8,23.1,1.58,1.23,1.75,1.54,8.3,15.4,25.0,30.8,33.3,15.4,25.0,30.8,16.7,15.4,0.0,30.8,16.7,7.7,8.3,30.8,58.3,23.1
Hungria_1 NB I,Győri ETO,13,13,13,13,53.8,15.4,7.7,76.9,46.2,30.8,76.9,38.5,15.4,92.3,61.5,38.5,0.77,1.77,1.31,2.08,7.7,0.0,7.7,38.5,15.4,38.5,0.0,30.8,23.1,23.1,0.0,15.4,15.4,38.5,15.4,38.5,53.8,23.1
Hungria_1 NB I,Kazincbarcika,13,13,13,13,92.3,61.5,23.1,46.2,38.5,7.7,69.2,23.1,7.7,100.0,69.2,46.2,1.77,0.92,1.0,2.23,0.0,7.7,30.8,23.1,7.7,0.0,15.4,0.0,23.1,15.4,0.0,23.1,0.0,7.7,0.0,30.8,0.0,7.7
Hungria_1 NB I,MTK,14,13,14,13,92.9,64.3,28.6,76.9,23.1,15.4,100.0,50.0,35.7,92.3,61.5,46.2,2.07,1.15,2.07,2.15,7.1,15.4,21.4,7.7,14.3,7.7,28.6,0.0,21.4,0.0,50.0,15.4,28.6,0.0,28.6,30.8,21.4,30.8
Hungria_1 NB I,Nyíregyháza Spartacus,13,13,13,13,76.9,46.2,30.8,69.2,46.2,30.8,92.3,38.5,23.1,84.6,46.2,7.7,1.54,1.54,1.62,1.38,0.0,23.1,7.7,7.7,15.4,7.7,0.0,15.4,30.8,38.5,15.4,15.4,7.7,7.7,15.4,7.7,30.8,23.1
Hungria_1 NB I,Paksi SE,13,14,13,14,61.5,38.5,15.4,57.1,35.7,7.1,100.0,76.9,69.2,85.7,35.7,14.3,1.23,1.14,2.77,1.36,7.7,7.1,7.7,14.3,7.7,21.4,23.1,35.7,30.8,14.3,30.8,7.1,30.8,0.0,7.7,7.1,69.2,42.9
Hungria_1 NB I,Puskás,12,13,12,13,66.7,33.3,8.3,84.6,46.2,7.7,83.3,41.7,25.0,69.2,23.1,7.7,1.08,1.38,1.5,1.0,0.0,15.4,16.7,15.4,16.7,15.4,8.3,23.1,16.7,15.4,8.3,0.0,25.0,0.0,8.3,23.1,16.7,23.1
Hungria_1 NB I,Várda SE,13,13,13,13,53.8,38.5,30.8,84.6,46.2,15.4,76.9,38.5,15.4,76.9,15.4,7.7,1.46,1.46,1.31,1.23,15.4,7.7,15.4,7.7,15.4,23.1,0.0,15.4,23.1,7.7,15.4,7.7,15.4,23.1,30.8,7.7,15.4,0.0
Hungria_1 NB I,Zalaegerszegi TE,13,13,13,13,69.2,30.8,15.4,46.2,30.8,7.7,100.0,38.5,23.1,100.0,46.2,15.4,1.15,0.92,1.69,1.69,7.7,0.0,15.4,7.7,15.4,0.0,0.0,15.4,15.4,15.4,15.4,38.5,15.4,7.7,30.8,15.4,46.2,38.5
Hungria_1 NB I,Újpest,14,12,14,12,64.3,35.7,7.1,66.7,58.3,33.3,85.7,42.9,7.1,66.7,58.3,41.7,1.14,1.58,1.36,1.92,14.3,8.3,21.4,16.7,21.4,8.3,0.0,8.3,14.3,33.3,7.1,16.7,28.6,8.3,0.0,33.3,7.1,25.0
Inglaterra_1 Premier League,AFC Bournemouth,16,15,16,15,56.2,31.2,12.5,86.7,53.3,26.7,68.8,50.0,18.8,73.3,53.3,26.7,1.0,1.73,1.5,1.87,12.5,26.7,6.2,6.7,18.8,20.0,18.8,26.7,0.0,6.7,6.2,6.7,31.2,20.0,12.5,13.3,37.5,26.7
Inglaterra_1 Premier League,Arsenal,15,16,15,16,73.3,26.7,0.0,68.8,25.0,0.0,86.7,60.0,33.3,68.8,56.2,25.0,1.0,0.94,1.93,1.5,0.0,12.5,13.3,18.8,13.3,12.5,33.3,18.8,46.7,6.2,20.0,37.5,33.3,18.8,20.0,12.5,53.3,25.0
Inglaterra_1 Premier League,Aston Villa,15,15,15,15,73.3,26.7,6.7,60.0,20.0,13.3,80.0,46.7,6.7,80.0,53.3,20.0,1.07,1.0,1.33,1.73,6.7,6.7,6.7,6.7,13.3,6.7,20.0,13.3,26.7,13.3,13.3,13.3,13.3,20.0,13.3,26.7,26.7,20.0
Inglaterra_1 Premier League,Brentford,15,15,15,15,73.3,33.3,20.0,80.0,33.3,26.7,73.3,53.3,26.7,80.0,40.0,20.0,1.27,1.47,1.6,1.53,20.0,6.7,13.3,13.3,13.3,13.3,20.0,13.3,6.7,26.7,20.0,6.7,13.3,6.7,20.0,13.3,46.7,33.3
