Liga,time,total_jogos_ca,total_jogos_fo,total_jogos_ht_ca,total_jogos_ht_fo,over05_ht_casa,over15_ht_casa,over25_ht_casa,over05_ht_fora,over15_ht_fora,over25_ht_fora,over05_2h_casa,over15_2h_casa,over25_2h_casa,over05_2h_fora,over15_2h_fora,over25_2h_fora,media_gols_ht_casa,media_gols_ht_fora,media_gols_2h_casa,media_gols_2h_fora,%Gl_Ca_0_10M,%Gl_Fo_0_10M,%Gl_Ca_11_20M,%Gl_Fo_11_20M,%Gl_Ca_21_30M,%Gl_Fo_21_30M,%Gl_Ca_31_40M,%Gl_Fo_31_40M,%Gl_Ca_41_50M,%Gl_Fo_41_50M,%Gl_Ca_51_60M,%Gl_Fo_51_60M,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Espanha_1 La Liga,Valencia CF,14,14,14,14,42.9,0.0,0.0,78.6,21.4,14.3,100.0,71.4,14.3,71.4,42.9,21.4,0.43,1.14,2.0,1.57,7.1,0.0,7.1,14.3,7.1,7.1,0.0,0.0,7.1,0.0,28.6,7.1,7.1,35.7,14.3,0.0,57.1,14.3
Espanha_1 La Liga,Villarreal,15,14,15,14,80.0,46.7,20.0,71.4,21.4,14.3,86.7,40.0,26.7,100.0,50.0,21.4,1.53,1.07,1.6,1.86,20.0,7.1,13.3,21.4,33.3,0.0,26.7,7.1,40.0,21.4,33.3,35.7,33.3,7.1,13.3,14.3,13.3,28.6
Espanha_2 Segunda Division,Albacete Balompié,15,15,15,15,60.0,13.3,0.0,53.3,26.7,6.7,93.3,60.0,20.0,66.7,26.7,20.0,0.73,0.93,1.93,1.4,6.7,20.0,6.7,0.0,0.0,0.0,6.7,0.0,13.3,0.0,46.7,26.7,6.7,20.0,6.7,13.3,26.7,33.3
Espanha_2 Segunda Division,Almería,15,16,15,16,80.0,53.3,13.3,68.8,37.5,12.5,93.3,66.7,33.3,81.2,56.2,18.8,1.53,1.19,2.33,1.56,20.0,6.2,40.0,12.5,26.7,18.8,13.3,25.0,20.0,12.5,33.3,6.2,13.3,18.8,13.3,18.8,60.0,25.0
Espanha_2 Segunda Division,Burgos CF,15,15,15,15,40.0,20.0,6.7,66.7,33.3,13.3,80.0,20.0,13.3,60.0,26.7,6.7,0.67,1.13,1.13,0.93,6.7,6.7,6.7,6.7,13.3,6.7,13.3,6.7,13.3,20.0,0.0,13.3,13.3,6.7,26.7,6.7,20.0,26.7
Espanha_2 Segunda Division,CD Castellón,14,16,14,16,78.6,50.0,28.6,62.5,31.2,18.8,78.6,42.9,21.4,68.8,43.8,18.8,1.57,1.19,1.71,1.31,28.6,12.5,14.3,18.8,21.4,18.8,21.4,18.8,14.3,6.2,21.4,12.5,14.3,6.2,21.4,6.2,50.0,25.0
Espanha_2 Segunda Division,Ceuta,15,15,15,15,86.7,33.3,13.3,80.0,53.3,26.7,66.7,46.7,6.7,53.3,46.7,13.3,1.47,1.67,1.2,1.13,20.0,13.3,26.7,6.7,20.0,6.7,13.3,6.7,20.0,33.3,6.7,6.7,6.7,6.7,6.7,13.3,33.3,0.0
Espanha_2 Segunda Division,Cultural y Deportiva Leonesa,15,15,15,15,46.7,20.0,6.7,93.3,53.3,33.3,60.0,46.7,13.3,73.3,33.3,20.0,0.8,1.87,1.2,1.27,6.7,13.3,0.0,6.7,6.7,13.3,6.7,40.0,0.0,26.7,13.3,13.3,13.3,0.0,0.0,6.7,13.3,6.7
Espanha_2 Segunda Division,Cádiz,15,15,15,15,60.0,26.7,26.7,60.0,33.3,6.7,60.0,40.0,6.7,60.0,33.3,20.0,1.13,1.0,1.13,1.2,6.7,20.0,33.3,13.3,0.0,6.7,6.7,0.0,6.7,6.7,6.7,13.3,26.7,13.3,6.7,13.3,13.3,13.3
Espanha_2 Segunda Division,Córdoba,15,15,15,15,73.3,33.3,6.7,66.7,60.0,20.0,60.0,53.3,26.7,73.3,26.7,13.3,1.13,1.6,1.53,1.33,13.3,33.3,0.0,26.7,6.7,13.3,6.7,0.0,26.7,0.0,13.3,6.7,13.3,20.0,26.7,20.0,20.0,26.7
Espanha_2 Segunda Division,Deportivo La Coruña,14,16,14,16,78.6,28.6,14.3,75.0,43.8,0.0,85.7,21.4,7.1,93.8,43.8,25.0,1.21,1.19,1.14,1.75,14.3,6.2,14.3,18.8,21.4,12.5,21.4,6.2,14.3,18.8,0.0,18.8,14.3,0.0,14.3,37.5,14.3,56.2
Espanha_2 Segunda Division,FC Andorra,14,16,14,16,57.1,35.7,7.1,68.8,31.2,6.2,71.4,28.6,21.4,87.5,68.8,25.0,1.0,1.06,1.21,1.88,7.1,18.8,14.3,6.2,21.4,18.8,7.1,12.5,7.1,6.2,14.3,12.5,0.0,6.2,7.1,37.5,35.7,12.5
Espanha_2 Segunda Division,Granada CF,16,14,16,14,56.2,31.2,12.5,78.6,21.4,7.1,56.2,25.0,12.5,71.4,50.0,7.1,1.31,1.07,0.94,1.29,31.2,0.0,12.5,14.3,25.0,28.6,18.8,7.1,0.0,0.0,12.5,14.3,6.2,28.6,12.5,0.0,6.2,14.3
Espanha_2 Segunda Division,Leganés,14,16,14,16,71.4,21.4,7.1,50.0,18.8,0.0,64.3,21.4,0.0,75.0,56.2,25.0,1.0,0.69,0.86,1.62,28.6,0.0,7.1,0.0,0.0,18.8,7.1,12.5,14.3,12.5,0.0,12.5,7.1,12.5,14.3,12.5,14.3,31.2
Espanha_2 Segunda Division,Mirandés,15,15,15,15,73.3,33.3,0.0,80.0,33.3,0.0,66.7,53.3,6.7,73.3,53.3,26.7,1.07,1.13,1.33,1.6,6.7,6.7,0.0,13.3,13.3,6.7,6.7,13.3,0.0,13.3,20.0,20.0,6.7,13.3,6.7,6.7,20.0,13.3
Espanha_2 Segunda Division,Málaga CF,16,14,16,14,75.0,43.8,25.0,71.4,14.3,0.0,87.5,50.0,31.2,78.6,35.7,28.6,1.44,0.86,1.94,1.43,6.2,7.1,37.5,7.1,0.0,7.1,43.8,7.1,31.2,7.1,25.0,42.9,12.5,0.0,0.0,0.0,62.5,21.4
Espanha_2 Segunda Division,Racing Santander,15,15,15,15,73.3,60.0,26.7,73.3,33.3,20.0,86.7,66.7,33.3,86.7,60.0,20.0,1.6,1.33,2.0,1.87,20.0,0.0,13.3,20.0,26.7,6.7,13.3,26.7,40.0,13.3,20.0,40.0,33.3,20.0,26.7,26.7,40.0,26.7
