Liga,time,total_jogos_casa,total_jogos_fora,pct_marcou_M60_casa,pct_marcou_M60_fora,avg_min_M60_casa,avg_min_M60_fora,dp_min_M60_casa,dp_min_M60_fora,cv_min_M60_casa,cv_min_M60_fora,n_marcou_M60_casa,n_marcou_M60_fora,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Italia_1 Serie A,Lazio,15,15,46.7,33.3,84.9,75.2,15.9,7.8,18.7,10.4,7,5,13.3,6.7,0.0,20.0,46.7,13.3
Italia_1 Serie A,Lecce,15,15,20.0,20.0,85.3,80.7,11.7,16.0,13.7,19.9,3,3,0.0,6.7,6.7,6.7,13.3,13.3
Italia_1 Serie A,Napoli,14,16,64.3,25.0,76.2,85.2,9.3,12.8,12.2,15.0,9,4,21.4,6.2,21.4,0.0,28.6,18.8
Italia_1 Serie A,Parma,15,15,33.3,33.3,79.0,80.8,12.1,11.0,15.3,13.6,5,5,6.7,6.7,6.7,20.0,20.0,13.3
Italia_1 Serie A,Pisa,15,15,20.0,33.3,77.7,82.6,8.3,9.4,10.7,11.4,3,5,0.0,6.7,13.3,0.0,6.7,26.7
Italia_1 Serie A,Roma,15,15,53.3,33.3,70.0,70.6,7.2,4.0,10.3,5.7,8,5,26.7,13.3,33.3,26.7,13.3,0.0
Italia_1 Serie A,Sassuolo,15,15,40.0,46.7,73.7,69.9,12.3,8.0,16.7,11.5,6,7,26.7,26.7,0.0,20.0,13.3,6.7
Italia_1 Serie A,Torino,15,15,26.7,40.0,75.8,81.7,15.4,10.3,20.3,12.6,4,6,13.3,6.7,0.0,6.7,20.0,40.0
Italia_1 Serie A,Udinese,15,15,33.3,33.3,77.0,69.0,14.4,7.3,18.6,10.6,5,5,13.3,26.7,6.7,0.0,20.0,13.3
Italia_2 Serie B,Avellino,16,16,50.0,18.8,76.2,73.0,11.6,9.5,15.2,13.1,8,3,25.0,12.5,18.8,0.0,18.8,6.2
Italia_2 Serie B,Bari 1908,16,16,37.5,18.8,79.5,84.3,8.0,7.4,10.0,8.7,6,3,0.0,0.0,25.0,6.2,18.8,12.5
Italia_2 Serie B,Calcio Padova,16,16,56.2,25.0,81.3,73.5,9.7,7.0,12.0,9.5,9,4,6.2,12.5,18.8,6.2,31.2,18.8
Italia_2 Serie B,Carrarese,16,16,43.8,56.2,71.6,74.6,9.1,6.7,12.7,9.0,7,9,25.0,6.2,25.0,43.8,31.2,12.5
Italia_2 Serie B,Catanzaro,15,16,33.3,43.8,71.4,78.1,9.6,12.0,13.4,15.3,5,7,13.3,18.8,20.0,31.2,6.7,18.8
Italia_2 Serie B,Cesena,16,16,37.5,37.5,80.0,71.0,7.0,6.4,8.8,9.0,6,6,0.0,12.5,25.0,25.0,18.8,0.0
Italia_2 Serie B,Empoli,17,15,58.8,33.3,72.1,85.2,7.1,14.4,9.9,17.0,10,5,23.5,6.7,35.3,6.7,17.6,20.0
Italia_2 Serie B,Frosinone,15,17,40.0,47.1,73.5,78.1,9.5,12.5,12.9,15.9,6,8,20.0,17.6,20.0,5.9,26.7,29.4
